iter	Passed	Remaining
0	3	3076
1	4	2429
2	7	2399
3	9	2284
4	11	2203
5	12	2125
6	15	2135
7	17	2112
8	18	2063
9	20	2033
10	22	2046
11	24	2023
12	26	1998
13	27	1966
14	29	1947
15	31	1917
16	32	1905
17	34	1898
18	37	1922
19	38	1908
20	40	1908
21	43	1924
22	45	1915
23	47	1918
24	49	1912
25	50	1908
26	53	1936
27	55	1942
28	58	1944
29	59	1929
30	61	1916
31	63	1910
32	64	1893
33	66	1888
34	70	1930
35	72	1933
36	76	1979
37	78	1981
38	80	1972
39	82	1971
40	85	1992
41	86	1977
42	88	1971
43	90	1955
44	91	1949
45	93	1938
46	95	1928
47	96	1914
48	98	1917
49	100	1906
50	101	1893
51	103	1887
52	105	1883
53	107	1889
54	109	1878
55	110	1867
56	112	1862
57	115	1869
58	118	1885
59	120	1880
60	121	1876
61	123	1867
62	124	1858
63	126	1849
64	130	1874
65	134	1903
66	137	1908
67	138	1904
68	140	1896
69	142	1887
70	143	1881
71	149	1928
72	151	1926
73	153	1922
74	155	1917
75	157	1914
76	158	1905
77	161	1905
78	164	1915
79	165	1907
80	167	1897
81	169	1892
82	170	1884
83	172	1875
84	173	1871
85	175	1868
86	178	1876
87	180	1868
88	181	1861
89	183	1857
90	185	1848
91	186	1844
92	188	1836
93	190	1833
94	193	1845
95	195	1844
96	197	1840
97	199	1837
98	201	1832
99	202	1826
100	204	1819
101	208	1839
102	210	1832
103	211	1826
104	213	1820
105	215	1815
106	216	1809
107	218	1802
108	219	1797
109	224	1818
110	226	1812
111	227	1807
112	229	1800
113	230	1795
114	232	1788
115	234	1783
116	235	1778
117	237	1773
118	240	1779
119	242	1779
120	244	1773
121	244	1762
122	246	1756
123	246	1744
124	248	1740
125	250	1737
126	251	1732
127	255	1737
128	256	1732
129	257	1722
130	259	1720
131	261	1716
132	262	1712
133	264	1706
134	265	1703
135	268	1704
136	270	1702
137	270	1692
138	272	1687
139	274	1684
140	275	1675
141	276	1669
142	277	1660
143	278	1656
144	280	1653
145	283	1656
146	284	1653
147	285	1646
148	287	1642
149	289	1640
150	290	1635
151	291	1626
152	292	1618
153	293	1610
154	294	1606
155	296	1602
156	298	1601
157	299	1595
158	300	1591
159	302	1587
160	303	1580
161	304	1576
162	305	1568
163	306	1564
164	308	1560
165	309	1556
166	311	1553
167	313	1553
168	315	1550
169	316	1547
170	319	1547
171	321	1545
172	323	1548
173	325	1547
174	329	1551
175	332	1554
176	333	1552
177	336	1553
178	337	1549
179	339	1544
180	339	1537
181	341	1535
182	342	1530
183	343	1523
184	344	1516
185	344	1509
186	346	1506
187	349	1509
188	351	1506
189	352	1503
190	354	1501
191	355	1496
192	356	1489
193	358	1490
